Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"SA2 (EN) by STRD Dwelling Structure"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

"STRD Dwelling Structure","Separate house","Semi-detached, row or terrace house, townhouse etc. with one storey","Semi-detached, row or terrace house, townhouse etc. with two or more storeys","Flat or apartment in a one or two storey block","Flat or apartment in a three storey block","Flat or apartment in a four to eight storey block","Flat or apartment in a nine or more storey block","Flat or apartment attached to a house","Caravan","Cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.","Not stated","Not applicable","Total",
"SA2 (EN)",
"Panton Hill - St Andrews",1935,0,0,0,0,0,0,0,0,3,0,0,0,0,1944,
"Plenty - Yarrambat",3063,35,55,55,9,0,0,3,0,0,0,0,0,0,3217,
"Research - North Warrandyte",2328,15,3,5,0,0,0,3,0,0,0,0,0,0,2356,
"Wattle Glen - Diamond Creek",4752,117,134,4,0,0,0,6,0,0,0,0,0,3,5019,
"Bundoora - North",1850,155,408,129,123,213,0,0,0,0,3,0,0,6,2888,
"Bundoora - West",2066,264,230,0,33,90,0,0,0,0,3,0,5,3,2711,
"Mill Park - North",5564,406,243,26,18,214,0,7,0,0,5,0,0,7,6493,
"Mill Park - South",3830,347,90,14,0,0,0,3,0,0,0,0,0,5,4292,
"Thomastown",6723,430,418,509,0,0,0,6,0,0,0,5,10,4,8112,
"Wallan",7496,349,98,6,0,0,0,3,5,0,0,0,9,0,7971,
"Whittlesea",3669,227,54,36,0,0,0,3,0,0,0,0,5,0,4006,
"Epping - East",3626,630,221,0,202,0,0,5,0,0,0,0,5,7,4697,
"Epping - South",2437,469,225,0,32,0,0,0,0,0,4,0,4,9,3177,
"Epping (Vic.) - West",3375,176,439,0,73,0,0,0,0,0,3,0,0,0,4061,
"South Morang - North",3657,104,292,0,0,0,0,6,0,0,0,0,0,0,4056,
"South Morang - South",3440,563,394,0,34,0,0,0,0,0,0,0,0,6,4446,
"Wollert",6946,361,516,22,0,133,0,0,0,0,0,7,7,0,7989,
"Doreen - North",5268,104,68,10,20,0,0,0,0,0,0,0,0,0,5474,
"Doreen - South",3365,203,121,0,0,0,0,0,0,0,0,0,0,0,3687,
"Lalor - East",3306,127,159,418,0,0,0,4,0,0,0,0,5,4,4020,
"Lalor - West",4454,59,116,148,0,0,0,0,0,0,0,5,3,3,4789,
"Mernda - North",3465,371,204,71,59,0,0,0,0,0,0,4,0,0,4173,
"Mernda - South",3725,37,148,0,0,0,0,0,0,0,0,0,9,0,3918,
"Airport West",2393,726,631,57,0,59,0,5,0,0,0,11,5,0,3890,
